pdf_name,source_org,title,date_accessed,notes

 WHO guideline ,World Health Organization (WHO),WHO guideline (type 2 diabetes / glycaemic control),2026-01-05,"Used for second-line treatment guidance and sulfonylurea caution in older adults"

2022-ADA-ESAD-Management-of-Hyperglycemia_Final,ADA/EASD,Management of Hyperglycemia in Type 2 Diabetes (2022 consensus),2026-01-05,"Background guideline; used as an additional reference document"

IDF_Rec_2025,International Diabetes Federation (IDF),IDF Recommendations 2025,2026-01-05,"Used for SMBG targets and timing guidance"

Management-of-type-2-diabetes,,Management of type 2 diabetes guideline,2026-01-05,"Used for screening frequency / monitoring intervals"

NICE NG28-type-2-diabetes-in-adults-management-pdf-1837338615493,NICE,NG28 Type 2 diabetes in adults: management,2026-01-05,"Used for structured education and first-line drug treatment"

Quick_Reference_Guide_WEB_10_24,Diabetes Canada,Quick Reference Guide (2024),2026-01-05,"Used for diagnostic thresholds (A1C/FPG) and glycemic targets"

Type-2-Diabetes-Mellitus-Evaluating-the-Safety-of-New-Drugs-for-Improving-Glycemic-Control,,Safety of new drugs for improving glycemic control,2026-01-05,"Background / supporting document; not a primary guideline"

